capitalExpenditures,cashChange,cashFlow,cashFlowFinancing,changesInInventories,changesInReceivables,currency,depreciation,dividendsPaid,exchangeRateEffect,filingType,fiscalDate,fiscalQuarter,fiscalYear,investingActivityOther,investments,netBorrowings,netIncome,otherFinancingCashFlows,reportDate,symbol,totalInvestingCashFlows
-91000000,1569000000,2220000000,-534000000,0,232000000,USD,319000000,,,10-K,2022-12-31,0,2022,,,-9654000000,1513000000,,2023-02-23,ATVI,-4994000000
-80000000,1776000000,2414000000,-521000000,0,-80000000,USD,440000000,,,10-K,2021-12-31,0,2021,,,-7976000000,2699000000,,2022-02-25,ATVI,-59000000
-78000000,2853000000,2252000000,711000000,-32000000,204000000,USD,446000000,,,10-K,2020-12-31,0,2020,,,-5908000000,2197000000,,2021-02-23,ATVI,-178000000
-116000000,1569000000,1831000000,-237000000,-11000000,-187000000,USD,553000000,,,10-K,2019-12-31,0,2019,,,-3737000000,1503000000,,2020-02-27,ATVI,-22000000
-131000000,-488000000,1790000000,-2020000000,-3000000,117000000,USD,998000000,,,10-K,2018-12-31,0,2018,,,-2357000000,1813000000,,2019-02-28,ATVI,-230000000
-155000000,1468000000,2213000000,-624000000,-3000000,186000000,USD,1199000000,,,10-K,2017-12-31,0,2017,,,-1166000000,273000000,,2018-02-27,ATVI,-197000000
-136000000,1414000000,2155000000,500000000,-79000000,53000000,USD,1150000000,,,10-K,2016-12-31,0,2016,,,838000000,962000000,,2017-02-28,ATVI,-1177000000
-111000000,-3017000000,1192000000,-135000000,5000000,20000000,USD,494000000,,,10-K,2015-12-31,0,2015,,,1499000000,881000000,,2016-02-29,ATVI,-3716000000
-107000000,417000000,1292000000,-374000000,-48000000,144000000,USD,90000000,,,10-K,2014-12-31,0,2014,,,-1425000000,817000000,,2015-02-26,ATVI,-84000000
-74000000,74000000,1264000000,-1223000000,-38000000,-192000000,USD,108000000,,,10-K,2013-12-31,0,2013,,,-529000000,987000000,,2014-03-03,ATVI,308000000
-73000000,848000000,1345000000,-497000000,65000000,58000000,USD,120000000,,,10-K,2012-12-31,0,2012,,,-4853000000,1125000000,,2013-02-22,ATVI,-124000000
-72000000,25000000,952000000,-808000000,32000000,9000000,USD,148000000,,,10-K,2011-12-31,0,2011,,,-4064000000,1069000000,,2012-02-28,ATVI,266000000
-97000000,239000000,1376000000,-1053000000,-129000000,-99000000,USD,198000000,,,10-K,2010-12-31,0,2010,,,-3969000000,414000000,,2011-02-25,ATVI,-312000000
-69000000,243000000,1183000000,-949000000,-21000000,-471000000,USD,347000000,,,10-K,2009-12-31,0,2009,,,-3851000000,113000000,,2010-03-01,ATVI,-443000000
0,3002000000,379000000,1488000000,262000000,1210000000,USD,385000000,,,10-K,2008-12-31,0,2008,,,-3487000000,-107000000,,2009-02-27,ATVI,1101000000
-37000000,12516000000,577000000,-71000000,0,764000000,USD,123000000,,,10-Q,2023-03-31,1,2023,,,-10144000000,740000000,,2023-05-04,ATVI,1663000000
-24000000,11992000000,1123000000,-61000000,0,1204000000,USD,100000000,,,10-K,2022-12-31,4,2022,,,-9654000000,403000000,,2023-02-23,ATVI,-1801000000
-15000000,10688000000,257000000,-6000000,0,658000000,USD,37000000,,,10-Q,2022-09-30,3,2022,,,-8842000000,435000000,,2022-11-07,ATVI,-2940000000
-37000000,10483000000,198000000,-370000000,0,572000000,USD,83000000,,,10-Q,2022-06-30,2,2022,,,-8326000000,280000000,,2022-08-01,ATVI,-260000000
-15000000,10967000000,642000000,-97000000,0,530000000,USD,99000000,,,10-Q,2022-03-31,1,2022,,,-8348000000,395000000,,2022-05-03,ATVI,7000000
-21000000,10423000000,661000000,12000000,0,972000000,USD,96000000,,,10-K,2021-12-31,4,2021,,,-7976000000,565000000,,2022-02-25,ATVI,42000000
-23000000,9718000000,521000000,-62000000,0,585000000,USD,96000000,,,10-Q,2021-09-30,3,2021,,,-7019000000,639000000,,2021-11-02,ATVI,-275000000
-14000000,9209000000,388000000,-376000000,0,682000000,USD,109000000,,,10-Q,2021-06-30,2,2021,,,-6599000000,876000000,,2021-08-03,ATVI,260000000
-22000000,9281000000,844000000,-95000000,0,773000000,USD,139000000,,,10-Q,2021-03-31,1,2021,,,-6543000000,619000000,,2021-05-04,ATVI,-86000000
-22000000,8647000000,1140000000,58000000,0,1052000000,USD,153000000,,,10-K,2020-12-31,4,2020,,,-5908000000,508000000,,2021-02-23,ATVI,0
-24000000,7415000000,196000000,934000000,0,619000000,USD,82000000,,,10-Q,2020-09-30,3,2020,,,-4779000000,604000000,,2020-10-29,ATVI,-90000000
-13000000,6338000000,768000000,-288000000,0,614000000,USD,72000000,,,10-Q,2020-06-30,2,2020,,,-4429000000,580000000,,2020-08-04,ATVI,-60000000
-19000000,5906000000,148000000,7000000,0,590000000,USD,139000000,,,10-Q,2020-03-31,1,2020,,,-3854000000,505000000,,2020-05-05,ATVI,-28000000
-116000000,5794000000,1831000000,-237000000,32000000,848000000,USD,553000000,,,10-K,2019-12-31,4,2019,,,-3737000000,524000000,,2020-02-27,ATVI,-22000000
0,4939000000,0,0,102000000,386000000,USD,0,,,10-Q,2019-09-30,3,2019,,,-2850000000,204000000,,2019-11-07,ATVI,0
0,4592000000,0,0,46000000,455000000,USD,0,,,10-Q,2019-06-30,2,2019,,,-2489000000,328000000,,2019-08-08,ATVI,0
0,4696000000,0,0,45000000,594000000,USD,0,,,10-Q,2019-03-31,1,2019,,,-2726000000,447000000,,2019-05-02,ATVI,0
-131000000,4225000000,1790000000,-2020000000,43000000,1035000000,USD,998000000,,,10-K,2018-12-31,4,2018,,,-2357000000,651000000,,2019-02-28,ATVI,-230000000
0,3308000000,0,0,174000000,641000000,USD,0,,,10-Q,2018-09-30,3,2018,,,-1487000000,260000000,,2018-11-08,ATVI,0
0,4857000000,0,0,36000000,418000000,USD,0,,,10-Q,2018-06-30,2,2018,,,-1286000000,402000000,,2018-08-02,ATVI,0
0,5217000000,0,0,42000000,431000000,USD,0,,,10-Q,2018-03-31,1,2018,,,-1545000000,500000000,,2018-05-03,ATVI,0
-155000000,4713000000,2213000000,-624000000,46000000,918000000,USD,1199000000,,,10-K,2017-12-31,4,2017,,,-1166000000,-584000000,,2018-02-27,ATVI,-197000000
0,3576000000,0,0,94000000,888000000,USD,0,,,10-Q,2017-09-30,3,2017,,,-16000000,188000000,,2017-11-02,ATVI,0
0,3278000000,0,0,51000000,360000000,USD,0,,,10-Q,2017-06-30,2,2017,,,446000000,243000000,,2017-08-03,ATVI,0
0,3248000000,0,0,48000000,344000000,USD,0,,,10-Q,2017-03-31,1,2017,,,429000000,426000000,,2017-05-04,ATVI,0
-136000000,3245000000,2155000000,500000000,49000000,732000000,USD,1150000000,,,10-K,2016-12-31,4,2016,,,838000000,300000000,,2017-02-28,ATVI,-1177000000
0,4029000000,0,0,131000000,446000000,USD,0,,,10-Q,2016-09-30,3,2016,,,1605000000,199000000,,2016-11-04,ATVI,0
0,2271000000,0,0,94000000,462000000,USD,0,,,10-Q,2016-06-30,2,2016,,,2169000000,127000000,,2016-08-04,ATVI,0
0,2872000000,0,0,103000000,383000000,USD,0,,,10-Q,2016-03-31,1,2016,,,2319000000,336000000,,2016-05-09,ATVI,0
-111000000,1831000000,1192000000,-135000000,128000000,679000000,USD,494000000,,,10-K,2015-12-31,4,2015,,,1499000000,159000000,,2016-02-29,ATVI,-3716000000
0,4519000000,0,0,238000000,503000000,USD,0,,,10-Q,2015-09-30,3,2015,,,-1117000000,125000000,,2015-11-06,ATVI,0
0,4521000000,0,0,117000000,201000000,USD,0,,,10-Q,2015-06-30,2,2015,,,-1310000000,210000000,,2015-08-04,ATVI,0
0,4470000000,0,0,102000000,208000000,USD,0,,,10-Q,2015-03-31,1,2015,,,-1113000000,387000000,,2015-05-06,ATVI,0
-107000000,4848000000,1292000000,-374000000,123000000,659000000,USD,90000000,,,10-K,2014-12-31,4,2014,,,-1425000000,355000000,,2015-02-26,ATVI,-84000000
0,3828000000,0,0,222000000,689000000,USD,0,,,10-Q,2014-09-30,3,2014,,,-330000000,-23000000,,2014-11-04,ATVI,0
0,4204000000,0,0,151000000,107000000,USD,0,,,10-Q,2014-06-30,2,2014,,,-536000000,200000000,,2014-08-05,ATVI,0
0,4287000000,0,0,158000000,219000000,USD,0,,,10-Q,2014-03-31,1,2014,,,-661000000,285000000,,2014-05-06,ATVI,0
-74000000,4431000000,1264000000,-1223000000,171000000,515000000,USD,108000000,,,10-K,2013-12-31,4,2013,,,-529000000,168000000,,2014-03-03,ATVI,308000000
0,6821000000,0,0,313000000,205000000,USD,0,,,10-Q,2013-09-30,3,2013,,,-5181000000,55000000,,2013-11-06,ATVI,0
0,4546000000,0,0,131000000,117000000,USD,0,,,10-Q,2013-06-30,2,2013,,,-5046000000,318000000,,2013-08-01,ATVI,0
0,4618000000,0,0,159000000,237000000,USD,0,,,10-Q,2013-03-31,1,2013,,,-4998000000,446000000,,2013-05-08,ATVI,0
-73000000,4357000000,1345000000,-497000000,209000000,707000000,USD,120000000,,,10-K,2012-12-31,4,2012,,,-4853000000,346000000,,2013-02-22,ATVI,-124000000
0,3364000000,0,0,291000000,200000000,USD,0,,,10-Q,2012-09-30,3,2012,,,-3714000000,221000000,,2012-11-07,ATVI,0
0,3192000000,0,0,128000000,227000000,USD,0,,,10-Q,2012-06-30,2,2012,,,-3493000000,181000000,,2012-08-02,ATVI,0
0,3476000000,0,0,146000000,103000000,USD,0,,,10-Q,2012-03-31,1,2012,,,-3872000000,377000000,,2012-05-09,ATVI,0
-34482000,254466000,396118000,-486960000,0,0,USD,204743000,,,10-Q,2023-03-31,1,2023,,,7479087000,146635000,,2023-05-05,AVB,-267339000
-51226000,613189000,341492000,117557000,0,0,USD,207232000,,,10-K,2022-12-31,4,2022,,,7438649000,240860000,,2023-02-24,AVB,-211930000
-53458000,200999000,440392000,-221476000,0,0,USD,206658000,,,10-Q,2022-09-30,3,2022,,,7505730000,493859000,,2022-11-08,AVB,8019000
-38077000,152522000,296368000,-227280000,0,0,USD,199302000,,,10-Q,2022-06-30,2,2022,,,7559580000,138444000,,2022-08-03,AVB,-266308000
-31944000,343457000,343680000,-339857000,0,0,USD,201786000,,,10-Q,2022-03-31,1,2022,,,7409737000,261521000,,2022-05-04,AVB,-90200000
-42925000,420251000,291428000,124810000,0,0,USD,197036000,,,10-K,2021-12-31,4,2021,,,7458175000,334495000,,2022-02-25,AVB,-308300000
-50569000,322294000,343113000,10590000,0,0,USD,193791000,,,10-Q,2021-09-30,3,2021,,,7187222000,78754000,,2021-11-04,AVB,-404958000
-29487000,297036000,238484000,-226268000,0,0,USD,184472000,,,10-Q,2021-06-30,2,2021,,,6983331000,447051000,,2021-08-04,AVB,245157000
-30254000,129298000,330145000,-257993000,0,0,USD,183297000,,,10-Q,2021-03-31,1,2021,,,7181607000,141899000,,2021-05-05,AVB,-155952000
-35456000,216976000,257541000,-268299000,0,0,USD,177823000,,,10-K,2020-12-31,4,2020,,,7129001000,340332000,,2021-02-25,AVB,141890000
-35261000,87530000,333157000,-430256000,0,0,USD,175348000,,,10-Q,2020-09-30,3,2020,,,7237294000,147361000,,2020-11-04,AVB,-136195000
-22734000,322817000,287213000,-690879000,0,0,USD,176249000,,,10-Q,2020-06-30,2,2020,,,7089565000,170438000,,2020-08-05,AVB,-49061000
-43585000,777995000,341704000,535170000,0,0,USD,177911000,,,10-Q,2020-03-31,1,2020,,,7109817000,167544000,,2020-05-08,AVB,-136067000
-140892000,39687000,1321804000,-218185000,0,0,USD,661578000,,,10-K,2019-12-31,4,2019,,,7077615000,167227000,,2020-02-21,AVB,-1193869000
0,246425000,0,0,0,0,USD,0,,,10-Q,2019-09-30,3,2019,,,6931635000,278973000,,2019-11-05,AVB,0
0,243576000,0,0,0,0,USD,0,,,10-Q,2019-06-30,2,2019,,,6926896000,167846000,,2019-08-06,AVB,0
0,62999000,0,0,0,0,USD,0,,,10-Q,2019-03-31,1,2019,,,6821044000,169865000,,2019-05-03,AVB,0
-86932000,91659000,1301111000,-688502000,0,0,USD,631196000,,,10-K,2018-12-31,4,2018,,,6782073000,384607000,,2019-02-22,AVB,-596651000
0,55887000,0,0,0,0,USD,0,,,10-Q,2018-09-30,3,2018,,,7246458000,191931000,,2018-11-02,AVB,0
0,101565000,0,0,0,0,USD,0,,,10-Q,2018-06-30,2,2018,,,7216237000,253935000,,2018-08-03,AVB,0
0,137244000,0,0,0,0,USD,0,,,10-Q,2018-03-31,1,2018,,,7175431000,141213000,,2018-05-04,AVB,0
-73990000,67088000,1256257000,-418947000,0,0,USD,584150000,,,10-K,2017-12-31,4,2017,,,6976318000,236902000,,2018-02-23,AVB,-965381000
0,36042000,0,0,0,0,USD,0,,,10-Q,2017-09-30,3,2017,,,6781389000,237576000,,2017-11-03,AVB,0
0,53477000,0,0,0,0,USD,0,,,10-Q,2017-06-30,2,2017,,,6637719000,164757000,,2017-08-04,AVB,0
0,121705000,0,0,0,0,USD,0,,,10-Q,2017-03-31,1,2017,,,6564727000,235223000,,2017-05-02,AVB,0
-72852000,214994000,1143484000,-291645000,0,0,USD,531434000,,,10-K,2016-12-31,4,2016,,,6526881000,241645000,,2017-02-24,AVB,-1037352000
0,65899000,0,0,0,0,USD,0,,,10-Q,2016-09-30,3,2016,,,6488082000,355520000,,2016-11-04,AVB,0
0,182306000,0,0,0,0,USD,0,,,10-Q,2016-06-30,2,2016,,,6408644000,196928000,,2016-08-05,AVB,0
0,97541000,0,0,0,0,USD,0,,,10-Q,2016-03-31,1,2016,,,6165531000,237299000,,2016-05-03,AVB,0
-55865000,400507000,1056754000,33810000,0,0,USD,477923000,,,10-K,2015-12-31,4,2015,,,5827269000,155095000,,2016-02-26,AVB,-1199517000
0,318557000,0,0,0,0,USD,0,,,10-Q,2015-09-30,3,2015,,,5755951000,205675000,,2015-11-03,AVB,0
0,65126000,0,0,0,0,USD,0,,,10-Q,2015-06-30,2,2015,,,6184182000,171879000,,2015-08-06,AVB,0
0,194928000,0,0,0,0,USD,0,,,10-Q,2015-03-31,1,2015,,,6110487000,207615000,,2015-05-04,AVB,0
-1294657000,509460000,886641000,158224000,0,0,USD,442682000,,,10-K,2014-12-31,4,2014,,,5785566000,141971000,,2015-02-19,AVB,-816760000
0,440028000,0,0,0,0,USD,0,,,10-Q,2014-09-30,3,2014,,,5561622000,240734000,,2014-11-04,AVB,0
0,425741000,0,0,0,0,USD,0,,,10-Q,2014-06-30,2,2014,,,5594455000,157832000,,2014-08-08,AVB,0
0,386190000,0,0,0,0,USD,0,,,10-Q,2014-03-31,1,2014,,,5784579000,141507000,,2014-05-02,AVB,0
-1312330000,281541000,724501000,-1995404000,0,0,USD,573715000,,,10-K,2013-12-31,4,2013,,,5640073000,251830000,,2014-03-03,AVB,-1181174000
0,112910000,0,0,0,0,USD,0,,,10-Q,2013-09-30,3,2013,,,5755875000,-10699000,,2013-11-05,AVB,0
0,111147000,0,0,0,0,USD,0,,,10-Q,2013-06-30,2,2013,,,5530287000,36159000,,2013-08-02,AVB,0
0,447456000,0,0,0,0,USD,0,,,10-Q,2013-03-31,1,2013,,,5290619000,75288000,,2013-05-10,AVB,0
-781891000,2733618000,540819000,2199332000,0,0,USD,260094000,,,10-K,2012-12-31,4,2012,,,948825000,122081000,,2013-02-22,AVB,-623386000
0,664133000,0,0,0,0,USD,0,,,10-Q,2012-09-30,3,2012,,,2969235000,86658000,,2012-11-02,AVB,0
0,358263000,0,0,0,0,USD,0,,,10-Q,2012-06-30,2,2012,,,2832253000,156362000,,2012-08-03,AVB,0
0,248242000,0,0,0,0,USD,0,,,10-Q,2012-03-31,1,2012,,,2963475000,57504000,,2012-05-04,AVB,0
-690910000,616890000,429391000,326233000,0,0,USD,250269000,,,10-K,2011-12-31,4,2011,,,2851467000,321453000,,2012-02-27,AVB,-443141000
0,690049000,0,0,0,0,USD,0,,,10-Q,2011-09-30,3,2011,,,2920623000,44824000,,2011-11-07,AVB,0
0,290104000,0,0,0,0,USD,0,,,10-Q,2011-06-30,2,2011,,,3530098000,43373000,,2011-08-01,AVB,0
0,291800000,0,0,0,0,USD,0,,,10-Q,2011-03-31,1,2011,,,3581180000,30341000,,2011-05-06,AVB,0
-447045000,306426000,332106000,167565000,0,0,USD,232942000,,,10-K,2010-12-31,4,2010,,,3607231000,27205000,,2011-02-23,AVB,-298936000
0,229111000,0,0,0,0,USD,0,,,10-Q,2010-09-30,3,2010,,,3582488000,23980000,,2010-11-04,AVB,0
0,373721000,0,0,0,0,USD,0,,,10-Q,2010-06-30,2,2010,,,3466798000,51125000,,2010-08-06,AVB,0
0,123297000,0,0,0,0,USD,0,,,10-Q,2010-03-31,1,2010,,,3709803000,72523000,,2010-05-05,AVB,0
-572103000,105691000,378600000,-4285000,0,0,USD,218286000,,,10-K,2009-12-31,4,2009,,,3758294000,32232000,,2010-03-01,AVB,-333559000
0,554335000,0,0,0,0,USD,0,,,10-Q,2009-09-30,3,2009,,,3747079000,58154000,,2009-11-09,AVB,0
0,215788000,0,0,0,0,USD,0,,,10-Q,2009-06-30,2,2009,,,3811831000,17674000,,2009-08-10,AVB,0
0,90335000,0,0,0,0,USD,0,,,10-Q,2009-03-31,1,2009,,,3587395000,47101000,,2009-05-11,AVB,0
-174705000,192938000,1421932000,-671056000,0,0,USD,814978000,,,10-K,2022-12-31,0,2022,,,7438649000,1134684000,,2023-02-24,AVB,-560419000
-153235000,203275000,1203170000,-348861000,0,0,USD,758596000,,,10-K,2021-12-31,0,2021,,,7458175000,1002199000,,2022-02-25,AVB,-624053000
-137036000,177289000,1219615000,-854264000,0,0,USD,707331000,,,10-K,2020-12-31,0,2020,,,7129001000,825675000,,2021-02-25,AVB,-179433000
-140892000,-51972000,1321804000,-218185000,0,0,USD,661578000,,,10-K,2019-12-31,0,2019,,,7077615000,783911000,,2020-02-21,AVB,-1193869000
-86932000,24571000,1301111000,-688502000,0,0,USD,631196000,,,10-K,2018-12-31,0,2018,,,6782073000,971686000,,2019-02-22,AVB,-596651000
-73990000,-147906000,1256257000,-418947000,0,0,USD,584150000,,,10-K,2017-12-31,0,2017,,,6976318000,874458000,,2018-02-23,AVB,-965381000
-72852000,-185513000,1143484000,-291645000,0,0,USD,531434000,,,10-K,2016-12-31,0,2016,,,6526881000,1031392000,,2017-02-24,AVB,-1037352000
-55865000,-108953000,1056754000,33810000,0,0,USD,477923000,,,10-K,2015-12-31,0,2015,,,5827269000,740264000,,2016-02-26,AVB,-1199517000
-1294657000,227919000,886641000,158224000,0,0,USD,442682000,,,10-K,2014-12-31,0,2014,,,5785566000,682044000,,2015-02-19,AVB,-816760000
-1312330000,-2452077000,724501000,-1995404000,0,0,USD,573715000,,,10-K,2013-12-31,0,2013,,,5640073000,352578000,,2014-03-03,AVB,-1181174000
-781891000,2116728000,540819000,2199332000,0,0,USD,260094000,,,10-K,2012-12-31,0,2012,,,948825000,422605000,,2013-02-22,AVB,-623386000
-690910000,310464000,429391000,326233000,0,0,USD,250269000,,,10-K,2011-12-31,0,2011,,,2851467000,439991000,,2012-02-27,AVB,-443141000
-447045000,200735000,332106000,167565000,0,0,USD,232942000,,,10-K,2010-12-31,0,2010,,,3607231000,174833000,,2011-02-23,AVB,-298936000
-572103000,39985000,378600000,-4285000,0,0,USD,218286000,,,10-K,2009-12-31,0,2009,,,3758294000,155161000,,2010-03-01,AVB,-333559000
-902327000,44484000,386855000,-75111000,0,0,USD,199452000,,,10-K,2008-12-31,0,2008,,,3488189000,401033000,,2009-03-02,AVB,-266309000
0,12655000,455825000,366360000,0,0,USD,181725000,,,10-K,2007-12-31,0,2007,,,3105234000,349460000,,2008-02-29,AVB,-809247000
0,2461000,351943000,162280000,0,0,USD,164129000,,,10-K/A,2006-12-31,0,2006,,,2735878000,257846000,,2007-05-10,AVB,-511371000
0,4524000,306639000,-282293000,0,0,USD,162063000,,,10-K,2005-12-31,0,2005,,,2286943000,313678000,,2006-03-14,AVB,-19761000
0,-5614000,275678000,-29471000,0,0,USD,162667000,,,10-K,2004-12-31,0,2004,,,2365155000,211045000,,2005-03-15,AVB,-251683000
0,-5738000,239815000,-279465000,0,0,USD,153796000,,,10-K,2003-12-31,0,2003,,,2245355000,260781000,,2004-03-05,AVB,33935000
0,-60052000,307810000,72543000,0,0,USD,144477000,,,10-K/A,2002-12-31,0,2002,,,2355057000,155722000,,2003-07-23,AVB,-440331000
0,15752000,308723000,-33580000,0,0,USD,130079000,,,10-K,2001-12-31,0,2001,,,1920749000,216500000,,2002-03-26,AVB,-259391000
0,49613000,294818000,37379000,0,0,USD,122610000,,,10-K405,2000-12-31,0,2000,,,1593230000,170825000,,2001-03-29,AVB,-282584000
-1624000000,5018000000,3255000000,-2642000000,1131000000,2455000000,USD,798000000,,,10-Q,2023-03-31,1,2023,,,-1778000000,2023000000,,2023-05-04,EOG,-1567000000
-1362000000,5972000000,3444000000,-1347000000,1058000000,2871000000,USD,878000000,,,10-K,2022-12-31,4,2022,,,-1468000000,2277000000,,2023-02-23,EOG,-1397000000
-1205000000,5272000000,4773000000,-1357000000,872000000,3436000000,USD,906000000,,,10-Q,2022-09-30,3,2022,,,-809000000,2854000000,,2022-11-03,EOG,-1216000000
-1424000000,3073000000,2048000000,-1497000000,739000000,3735000000,USD,911000000,,,10-Q,2022-06-30,2,2022,,,1412000000,2238000000,,2022-08-04,EOG,-1487000000
-1009000000,4009000000,828000000,-1072000000,586000000,3213000000,USD,847000000,,,10-Q,2022-03-31,1,2022,,,419000000,390000000,,2022-05-05,EOG,-956000000
-1014000000,5209000000,3166000000,-1414000000,584000000,2335000000,USD,910000000,,,10-K,2021-12-31,4,2021,,,-556000000,1985000000,,2022-02-24,EOG,-837000000
-896000000,4293000000,2196000000,-2077771000,521000000,2154000000,USD,927000000,,,10-Q,2021-09-30,3,2021,,,443000000,1095000000,,2021-11-04,EOG,-933000000
-1023000000,3880000000,1559000000,986771000,516000000,2026000000,USD,914000000,,,10-Q,2021-06-30,2,2021,,,732000000,907000000,,2021-08-04,EOG,-828000000
-917000000,3388000000,1870000000,-988000000,562000000,1828000000,USD,900000000,,,10-Q,2021-03-31,1,2021,,,1332000000,677000000,,2021-05-06,EOG,-821000000
-841162000,3328928000,1121238000,-219484000,629401000,1545293000,USD,870564000,,,10-K,2020-12-31,4,2020,,,2128931000,337466000,,2021-02-25,EOG,-636848000
-486139000,3065556000,1213553000,-134484000,668541000,1137528000,USD,823050000,,,10-Q,2020-09-30,3,2020,,,2431745000,-42467000,,2020-11-05,EOG,-334473000
-448573000,2416501000,88074000,170211000,676580000,1140312000,USD,706679000,,,10-Q,2020-06-30,2,2020,,,2943763000,-909384000,,2020-08-06,EOG,-845242000
-1688826000,2906852000,2584918000,-175268000,662398000,1758965000,USD,1000060000,,,10-Q,2020-03-31,1,2020,,,1152483000,9813000,,2020-05-07,EOG,-1530943000
-6422526000,2027972000,8163180000,-1513321000,767297000,2153323000,USD,3749704000,,,10-K,2019-12-31,4,2019,,,2822724000,636521000,,2020-02-27,EOG,-6177173000
0,1583105000,0,0,778120000,2063676000,USD,0,,,10-Q,2019-09-30,3,2019,,,3199380000,615122000,,2019-11-06,EOG,0
0,1160485000,0,0,853128000,2123317000,USD,0,,,10-Q,2019-06-30,2,2019,,,3660084000,847841000,,2019-08-01,EOG,0
0,1135810000,0,0,860764000,2643655000,USD,0,,,10-Q,2019-03-31,1,2019,,,4677445000,635426000,,2019-05-02,EOG,0
-6076475000,1555634000,7768608000,-839103000,859359000,2343124000,USD,3435408000,,,10-K,2018-12-31,4,2018,,,4228355000,892768000,,2019-02-26,EOG,-6170162000
0,1274132000,0,0,766964000,2472185000,USD,0,,,10-Q,2018-09-30,3,2018,,,4856880000,1190952000,,2018-11-01,EOG,0
0,1008215000,0,0,670994000,2272109000,USD,0,,,10-Q,2018-06-30,2,2018,,,5146048000,696731000,,2018-08-02,EOG,0
0,816094000,0,0,584729000,1964889000,USD,0,,,10-Q,2018-03-31,1,2018,,,5399280000,638589000,,2018-05-03,EOG,0
-4124242000,834228000,4265336000,-1035711000,483865000,1710851000,USD,3409387000,,,10-K,2017-12-31,4,2017,,,5302679000,2430468000,,2018-02-27,EOG,-3987409000
0,846138000,0,0,344016000,1370416000,USD,0,,,10-Q,2017-09-30,3,2017,,,5337475000,100541000,,2017-11-02,EOG,0
0,1649443000,0,0,336198000,1205710000,USD,0,,,10-Q,2017-06-30,2,2017,,,5145339000,23053000,,2017-08-01,EOG,0
0,1546566000,0,0,314194000,1267615000,USD,0,,,10-Q,2017-03-30,1,2017,,,5174320000,28517000,,2017-05-08,EOG,0
-2582795000,1599895000,2359063000,-242722000,350017000,1228625000,USD,3553417000,,,10-K,2016-12-31,4,2016,,,5179784000,-142352000,,2017-02-27,EOG,-1252944000
0,1048727000,0,0,429667000,920367000,USD,0,,,10-Q,2016-09-30,3,2016,,,5735485000,-190000000,,2016-11-03,EOG,0
0,779722000,0,0,495826000,940472000,USD,0,,,10-Q,2016-06-30,2,2016,,,6018754000,-292558000,,2016-08-04,EOG,0
0,668481000,0,0,538926000,819670000,USD,0,,,10-Q,2016-03-31,1,2016,,,6155449000,-471776000,,2016-05-05,EOG,0
-5013163000,718506000,3595165000,370921000,598935000,971314000,USD,3313644000,,,10-K,2015-12-31,4,2015,,,5786081000,-284296000,,2016-02-25,EOG,-5320256000
0,742689000,0,0,660252000,1176778000,USD,0,,,10-Q,2015-09-30,3,2015,,,5482901000,-4075739000,,2015-11-05,EOG,0
0,1367395000,0,0,661162000,1353296000,USD,0,,,10-Q,2015-06-30,2,2015,,,4716817000,5268000,,2015-08-06,EOG,0
0,2127419000,0,0,764206000,1327702000,USD,0,,,10-Q,2015-03-31,1,2015,,,4217512000,-169748000,,2015-05-04,EOG,0
-8246805000,2087213000,8649155000,-327734000,706597000,1850932000,USD,3997041000,,,10-K,2014-12-31,4,2014,,,3071059000,444588000,,2015-02-18,EOG,-7513565000
0,1481145000,0,0,672899000,2027069000,USD,0,,,10-Q,2014-09-30,3,2014,,,3963321000,1103618000,,2014-11-04,EOG,0
0,1230140000,0,0,667108000,1926775000,USD,0,,,10-Q,2014-06-30,2,2014,,,4264323000,706353000,,2014-08-05,EOG,0
0,1667212000,0,0,635419000,1801856000,USD,0,,,10-Q,2014-03-31,1,2014,,,3954025000,660928000,,2014-05-06,EOG,0
-7060627000,1318209000,7329414000,-573926000,563268000,1663650000,USD,3600976000,,,10-K,2013-12-31,4,2013,,,4312730000,580194000,,2014-02-24,EOG,-6314778000
0,1318817000,0,0,566004000,1891813000,USD,0,,,10-Q,2013-09-30,3,2013,,,4706581000,462498000,,2013-11-06,EOG,0
0,1228016000,0,0,657400000,1832404000,USD,0,,,10-Q,2013-06-30,2,2013,,,4718765000,659692000,,2013-08-06,EOG,0
0,1108034000,0,0,697478000,1915637000,USD,0,,,10-Q,2013-03-31,1,2013,,,4946628000,494725000,,2013-05-06,EOG,0
-7355116000,876435000,5236777000,1139751000,683187000,1685781000,USD,3169703000,,,10-K,2012-12-31,4,2012,,,5091265000,-504999000,,2013-02-22,EOG,-6119263000
0,1112623000,0,0,657880000,1633890000,USD,0,,,10-Q,2012-09-30,3,2012,,,4717852000,355491000,,2012-11-05,EOG,0
0,280374000,0,0,620260000,1403540000,USD,0,,,10-Q,2012-06-30,2,2012,,,4087635000,395778000,,2012-08-02,EOG,0
0,294064000,0,0,561512000,1568084000,USD,0,,,10-Q,2012-03-31,1,2012,,,4098086000,324009000,,2012-05-08,EOG,0
-5000000000,763000000,11093000000,-5273000000,474000000,536000000,USD,3542000000,,,10-K,2022-12-31,0,2022,,,-1468000000,7759000000,,2023-02-23,EOG,-5056000000
