adjustedHolding,adjustedMarketValue,entityProperName,reportDate,reportedHolding,reportedMarketValue,symbol
1292,82546,LEGG MASON PARTNERS INVESTMENT TRUST,2022-05-19,1292,82546,AOS
1258,107999,EQ ADVISORS TRUST,2022-06-08,1258,107999,AOS
1250,79863,SEASONS SERIES TRUST,2022-05-26,1250,79863,AOS
1200,63360,MASSMUTUAL PREMIER FUNDS,2020-11-25,1200,63360,AOS
1187,69356,SUNAMERICA SERIES TRUST,2022-06-29,1187,69356,AOS
1182,101475,Federated Hermes Adviser Series,2022-02-24,1182,101475,AOS
1173,74943,RYDEX SERIES FUNDS,2022-05-26,1173,74943,AOS
1160,79553,VALIC Co I,2022-04-27,1160,79553,AOS
1144,66844,SUNAMERICA SERIES TRUST,2022-06-29,1144,66844,AOS
1130,72196,OHIO NATIONAL FUND INC,2022-05-24,1130,72196,AOS
1124,71812,PUTNAM VARIABLE TRUST,2022-05-25,1124,71812,AOS
1115,71237,Gateway Trust,2022-05-27,1115,71237,AOS
1049,61293,RUSSELL INVESTMENT CO,2022-06-29,1049,61293,AOS
1039,66382,AQR Funds,2022-05-26,1039,66382,AOS
1014,69540,Horizon Funds,2022-04-21,1014,69540,AOS
1000,58430,"STEWARD FUNDS, INC.",2022-06-27,1000,58430,AOS
982,37129,JNL VARIABLE FUND LLC,2020-05-29,982,37129,AOS
980,62612,SEI INSTITUTIONAL MANAGED TRUST,2022-05-26,980,62612,AOS
956,61079,JNL SERIES TRUST,2022-05-25,956,61079,AOS
953,60887,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2022-05-25,953,60887,AOS
945,60376,VICTORY PORTFOLIOS,2022-05-25,945,60376,AOS
943,64671,SEI Catholic Values Trust,2022-04-28,943,64671,AOS
942,64602,SHELTON FUNDS,2022-04-28,942,64602,AOS
935,54632,John Hancock Exchange-Traded Fund Trust,2022-06-28,935,54632,AOS
917,53580,iSHARES TRUST,2022-06-27,917,53580,AOS
907,52996,INVESCO ACTIVELY MANAGED EXCHANGE-TRADED FUND TRUST,2022-06-28,907,52996,AOS
901,57565,FRANKLIN TEMPLETON VARIABLE INSURANCE PRODUCTS TRUST,2022-05-23,901,57565,AOS
899,52529,THRIVENT MUTUAL FUNDS,2022-06-28,899,52529,AOS
894,62875,ADVISORS' INNER CIRCLE FUND,2021-09-28,894,62875,AOS
876,55968,SEASONS SERIES TRUST,2022-05-26,876,55968,AOS
850,54307,ADVANCED SERIES TRUST,2022-05-26,850,54307,AOS
809,55481,Invesco Exchange-Traded Self-Indexed Fund Trust,2022-04-29,809,55481,AOS
795,68251,EQ ADVISORS TRUST,2022-06-08,795,68251,AOS
778,42650,DELAWARE GROUP EQUITY FUNDS IV,2021-03-01,778,42650,AOS
769,49131,COLLEGE RETIREMENT EQUITIES FUND,2022-05-26,769,49131,AOS
737,52379,PGIM ETF TRUST,2021-07-23,737,52379,AOS
728,46512,GOLDMAN SACHS VARIABLE INSURANCE TRUST,2022-05-26,728,46512,AOS
725,43043,ARCHER INVESTMENT SERIES TRUST,2021-04-23,725,43043,AOS
723,42245,Direxion Shares ETF Trust,2022-06-29,723,42245,AOS
721,46065,SPDR SERIES TRUST,2022-05-27,721,46065,AOS
716,45745,WILSHIRE MUTUAL FUNDS INC,2022-05-25,716,45745,AOS
711,41544,Federated Hermes Index Trust,2022-06-21,711,41544,AOS
711,48760,"AB GLOBAL RISK ALLOCATION FUND, INC.",2022-04-26,711,48760,AOS
706,45106,PRINCIPAL VARIABLE CONTRACTS FUNDS INC,2022-05-25,706,45106,AOS
696,44467,Brighthouse Funds Trust I,2022-05-26,696,44467,AOS
685,43765,MUTUAL OF AMERICA INVESTMENT CORP,2022-05-09,685,43765,AOS
684,43701,RYDEX DYNAMIC FUNDS,2022-05-26,684,43701,AOS
654,45996,Aberdeen Funds,2021-09-28,654,45996,AOS
614,42108,PROSHARES TRUST,2022-04-28,614,42108,AOS
607,38781,STATE STREET VARIABLE INSURANCE SERIES FUNDS INC,2022-05-27,607,38781,AOS
604,38590,SEASONS SERIES TRUST,2022-05-26,604,38590,AOS
601,28319,VIRTUS EQUITY TRUST,2020-08-26,601,28319,AOS
600,22686,Bread & Butter Fund Inc.,2020-05-11,600,22686,AOS
584,37312,PIMCO Equity Series,2022-05-27,584,37312,AOS
577,33714,Columbia ETF Trust I,2022-06-27,577,33714,AOS
570,43559,"MANNING  NAPIER FUND, INC.",2022-03-23,570,43559,AOS
558,42642,"MANNING  NAPIER FUND, INC.",2022-03-23,558,42642,AOS
547,34948,MML Series Investment Fund II,2022-05-27,547,34948,AOS
537,34309,FIRST TRUST EXCHANGE-TRADED FUND VI,2022-05-26,537,34309,AOS
521,30442,INVESCO EXCHANGE-TRADED FUND TRUST,2022-06-28,521,30442,AOS
520,33223,RYDEX SERIES FUNDS,2022-05-26,520,33223,AOS
517,33031,SPDR SERIES TRUST,2022-05-27,517,33031,AOS
487,31114,MML SERIES INVESTMENT FUND,2022-05-26,487,31114,AOS
487,18413,VICTORY VARIABLE INSURANCE FUNDS,2020-05-28,487,18413,AOS
477,30476,SPDR INDEX SHARES FUNDS,2022-05-27,477,30476,AOS
